CTR;SERVICIO;CATEGORÍA;UBICACIÓN;CARGO;NIVEL;CANTIDAD
LA ESTRELLA;DDH;LÍNEA DE MANDO;GENERAL;ADMINISTRADOR;;1
LA ESTRELLA;DDH;LÍNEA DE MANDO;GENERAL;ASISTENTE LOGÍSTICO;;2
LA ESTRELLA;DDH;LÍNEA DE MANDO;GENERAL;TÉCNICO MECÁNICO;I;3
LA ESTRELLA;DDH;OPERATIVO;SUPERFICIE;PERFORISTA;I;6
LA ESTRELLA;DDH;OPERATIVO;SUPERFICIE;AYUDANTE;I;12
LA ESTRELLA;DDH;CONDUCTORES;SUPERFICIE;CONDUCTOR;;5
LA ESTRELLA;DDH;VACACIONISTA;SUPERFICIE;PERFORISTA;I;1
LA ESTRELLA;DDH;VACACIONISTA;SUPERFICIE;AYUDANTE;I;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;INGENIERO RESIDENTE;;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;INGENIERO DE SEGURIDAD;;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;GEÓLOGO;I;4
CERRO;DDH;LÍNEA DE MANDO;GENERAL;GEÓLOGO;II;3
CERRO;DDH;OPERATIVO;GENERAL;MUESTRERO ORE CONTROL;;4
CERRO;DDH;OPERATIVO;GENERAL;MAESTRO MUESTRERO;;12
CERRO;DDH;OPERATIVO;GENERAL;AYUDANTE MUESTRERO;;6
CERRO;DDH;OPERATIVO;GENERAL;TÉCNICO GEOLOGÍA;;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;GEÓLOGO JUNIOR BD & QA-QC;;1
CERRO;DDH;OPERATIVO;GENERAL;MUESTRERO/PREPARADOR DE MUESTRAS;;5
CERRO;DDH;OPERATIVO;GENERAL;AUXILIAR QA/QC;;3
CERRO;DDH;LÍNEA DE MANDO;MINA;GEÓLOGO;;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;GEÓLOGO DE EXPLORACIONES;;1
CERRO;DDH;LÍNEA DE MANDO;GENERAL;SUPERVISOR QA/QC;;3
CERRO;DDH;LÍNEA DE MANDO;MINA;INGENIERO DE SEGURIDAD;;1
CERRO;DDH;LÍNEA DE MANDO;MINA;MAESTRO MUESTRERO;;3
CERRO;DDH;LÍNEA DE MANDO;MINA;AYUDANTE MUESTRERO;;3
